title,genre,release_year
100 Days,thriller,1991
29th Street,drama,1991
A Rage in Harlem,drama,1991
A Woman's Tale,drama,1991
Aakhri Cheekh,horror,1991
Across the Tracks,drama,1991
Aditya 369,action,1991
Afsana Pyar Ka,romance,1991
Al-Kit Kat,comedy,1991
Al-Ra'i wal Nisaa (The Shepherd and the Women),drama,1991
All I Want for Christmas,comedy,1991
American Friends,comedy,1991
Another You,comedy,1991
April 1st Vidudala,comedy,1991
Armour of God II: Operation Condor,action,1991
Assembly Rowdy,action,1991
At Play in the Fields of the Lord,drama,1991
Backdraft,drama,1991
Barton Fink,drama,1991
Begunaah,"action, crime, drama",1991
Bill & Ted's Bogus Journey,comedy,1991
Billy Bathgate,drama,1991
Blue Desert,thriller,1991
Body Parts,horror,1991
Boyz n the Hood,drama,1991
Bugsy,"drama, biography",1991
By the Sword,action,1991
Career Opportunities,comedy,1991
Casino Raiders II,drama,1991
Chanti,drama,1991
Child's Play 3,horror,1991
Children of the Night,horror,1991
Chitram Bhalare Vichitram,comedy,1991
Chopper Chicks in Zombietown,"comedy, horror",1991
City Slickers,comedy,1991
City of Hope,drama,1991
Class Action,drama,1991
Clearcut,drama,1991
Close My Eyes,drama,1991
Closet Land,drama,1991
Cold Heaven,drama,1991
Cool as Ice,drama,1991
Coolie No.1,action,1991
Crazy Safari,comedy,1991
Curly Sue,comedy,1991
Daughters of the Dust,drama,1991
Dead Again,thriller,1991
Deadly,crime,1991
Death in Brunswick,comedy,1991
Deceived,thriller,1991
Defending Your Life,comedy,1991
Defenseless,crime,1991
Delirious,comedy,1991
Diksha,drama,1991
Dil Hai Ke Manta Nahin,romance,1991
Doc Hollywood,comedy,1991
Dogfight,"drama, war",1991
Don't Tell Mom the Babysitter's Dead,comedy,1991
Double Impact,action,1991
Drop Dead Fred,comedy,1991
Dushman Devta,action,1991
Dutch,comedy,1991
Dying Young,drama,1991
Edge of Honor,thriller,1991
Ernest Scared Stupid,comedy,1991
Eve of Destruction,action,1991
Eyes of an Angel,drama,1991
Farishtay,action,1991
Fateh,action,1991
Fight Back to School,comedy,1991
Final Approach,action,1991
First Love Letter,romance,1991
Flight of the Intruder,action,1991
Flirting,drama,1991
For the Boys,"drama, musical",1991
Freddy's Dead: The Final Nightmare,horror,1991
Fried Green Tomatoes,comedy,1991
God of Gamblers III: Back to Shanghai,comedy,1991
Grand Canyon,drama,1991
Guilty by Suspicion,drama,1991
Hangin' with the Homeboys,comedy,1991
Hard Promises,drama,1991
Harley Davidson and the Marlboro Man,action,1991
Hear My Song,comedy,1991
Henna,"romance, drama",1991
Homicide,drama,1991
Hong Kong Godfather,crime,1991
Hook,adventure,1991
Hot Shots!,comedy,1991
House Party 2,comedy,1991
Hudson Hawk,comedy,1991
Hum,"action, drama",1991
Hunting,drama,1991
If Looks Could Kill,comedy,1991
Impromptu,drama,1991
Indrajeet,"action, drama",1991
Insaaf Ka Khoon,"crime, drama",1991
JFK,"drama, biography",1991
Jungle Fever,drama,1991
Khoon Ka Karz,"action, crime, drama",1991
Khooni Panja,horror,1991
King Ralph,comedy,1991
L.A. Story,comedy,1991
Lamhe,"romance, drama",1991
Lee Rock II,drama,1991
Let Him Have It,crime,1991
Life Stinks,comedy,1991
Little Man Tate,drama,1991
Love Hurts,drama,1991
McBain,drama,1991
Meet the Applegates,comedy,1991
Mississippi Masala,drama,1991
My Girl,"comedy, drama",1991
Mystery Date,comedy,1991
Naked Lunch,drama,1991
Narsimha,action,1991
Necessary Roughness,comedy,1991
Night on Earth,comedy,1991
Not Without My Daughter,drama,1991
Nothing but Trouble,comedy,1991
Numbri Aadmi,"action, crime, drama",1991
Off Track,drama,1991
One Good Cop,crime,1991
Only the Lonely,comedy,1991
Oscar,comedy,1991
Other People's Money,"drama, comedy",1991
Out for Justice,action,1991
Paradise,drama,1991
Paris Trout,drama,1991
Patthar Ke Phool,"romance, thriller",1991
Point Break,action,1991
Poison,drama,1991
Prahaar: The Final Attack,action,1991
Pratikar,"action, crime, drama",1991
Prem Qaidi,"romantic, drama",1991
Problem Child 2,comedy,1991
Puppet Master II,horror,1991
Puppet Master III: Toulon's Revenge,horror,1991
Pure Luck,comedy,1991
Pyaar Ka Saaya,drama,1991
Rainbow Kids,comedy,1991
Rambling Rose,drama,1991
Ranbhoomi,"action, drama",1991
Regarding Henry,drama,1991
Return to the Blue Lagoon,adventure,1991
Rhapsody in August,drama,1991
Ricochet,thriller,1991
Road to Ruin,comedy,1991
Robin Hood: Prince of Thieves,adventure,1991
Run,action,1991
Rush,drama,1991
Sadak,romance,1991
Sam and Me,drama,1991
Sapnon Ka Mandir,"action, crime, drama, family",1991
Saugandh,"action, family",1991
Scanners II: The New Order,horror,1991
Scene at the Sea !A Scene at the Sea,drama,1991
Scenes from a Mall,comedy,1991
Scissors,thriller,1991
Scorchers,drama,1991
Shadows and Fog,comedy,1991
Shadows of the Past,thriller,1991
Shanti Kranti,musical,1991
Shikari: The Hunter,action,1991
Shout,drama,1991
Showdown in Little Tokyo,action,1991
Sleeping with the Enemy,thriller,1991
Soapdish,comedy,1991
South of Wawa,"comedy, drama",1991
Stone Cold,action,1991
Straight Out of Brooklyn,drama,1991
Swarg Yahan Narak Yahan,"action, comedy, drama, crime",1991
Switch,comedy,1991
Thalapathi,"crime, drama",1991
The Addams Family,comedy,1991
The Ballad of the Sad Café,drama,1991
The Boneyard,horror,1991
The Butcher's Wife,comedy,1991
The Commitments,musical,1991
The Dark Backward,comedy,1991
The Dark Wind,crime,1991
The Doctor,drama,1991
The Doors,"drama, biography",1991
The Fisher King,"drama, comedy",1991
The Five Heartbeats,musical,1991
The Hitman,action,1991
The Hours and Times,drama,1991
The Indian Runner,drama,1991
The Inner Circle,drama,1991
The Last Blood,action,1991
The Last Boy Scout,action,1991
The Man in the Moon,drama,1991
The Marrying Man,comedy,1991
The Naked Gun 2½: The Smell of Fear,comedy,1991
The People Under the Stairs,horror,1991
The Perfect Weapon,action,1991
The Pope Must Die,comedy,1991
The Prince of Tides,drama,1991
The Quarrel,drama,1991
The Rapture,drama,1991
The Rocketeer,action,1991
The Silence of the Lambs,thriller,1991
The Super,comedy,1991
The Swordsman in Double Flag Town,action,1991
The Taking of Beverly Hills,action,1991
Thelma & Louise,drama,1991
Together Alone,drama,1991
Toy Soldiers,thriller,1991
Tricky Brains,comedy,1991
Trinetra,action,1991
True Colors,drama,1991
Two Evil Eyes,horror,1991
Victim of Love,thriller,1991
Vishkanya,action,1991
What About Bob?,comedy,1991
White Fang,drama,1991
Whore,drama,1991
Wild Hearts Can't Be Broken,drama,1991
Year of the Gun,thriller,1991
Young Soul Rebels,drama,1991
Zodiac Killers,drama,1991
1492: Conquest of Paradise,"drama, biography",1992
3 Ninjas,comedy,1992
A Few Good Men,drama,1992
A League of Their Own,comedy,1992
A Midnight Clear,"war, drama",1992
A River Runs Through It,drama,1992
Agantuk,drama,1992
Aladdin,"animated, comedy",1992
Angaar,romance,1992
Article 99,drama,1992
Balwaan,action,1992
Beta,drama,1992
Bitter Moon,drama,1992
Blame It on the Bellboy,comedy,1992
Blown Away,drama,1992
Bob Roberts,comedy,1992
Brain Donors,comedy,1992
Bram Stoker's Dracula,horror,1992
Buffy the Vampire Slayer,comedy,1992
Captain Ron,comedy,1992
Chain of Desire,romance,1992
Chamatkar,comedy,1992
Child of Rage,drama,1992
Children of the Corn II: The Final Sacrifice,horror,1992
Christopher Columbus: The Discovery,"adventure, biography",1992
City of Joy,drama,1992
Class Act,comedy,1992
Consenting Adults,thriller,1992
CrissCross,drama,1992
Current,drama,1992
Damage,drama,1992
Death Becomes Her,comedy,1992
Deep Cover,thriller,1992
Diggstown,drama,1992
Dil Aashna Hai,drama,1992
Dil Ka Kya Kasoor,romance,1992
Dr. Giggles,horror,1992
Emily Brontë's Wuthering Heights,drama,1992
Encino Man,comedy,1992
Exchange Lifeguards (aka Wet and Wild Summer!),comedy,1992
Falling from Grace,drama,1992
Far and Away,drama,1992
Fifty/Fifty,comedy,1992
Final Analysis,thriller,1992
Folks!,comedy,1992
Frozen Assets,comedy,1992
Gas Food Lodging,drama,1992
Ghar Jamai,drama,1992
Gladiator,drama,1992
Glengarry Glen Ross,drama,1992
Hero,comedy,1992
Home Alone 2: Lost in New York,comedy,1992
"Honey, I Blew Up the Kid",comedy,1992
Honeymoon in Vegas,comedy,1992
Hurricane Smith,action,1992
Husbands and Wives,drama,1992
Innocent Blood,horror,1992
Insaaf Ki Devi,action,1992
Into the Sun,action,1992
Isi Ka Naam Zindagi,comedy,1992
Jaanam,romance,1992
Jennifer 8,thriller,1992
Juice,drama,1992
Just Another Girl on the I.R.T.,comedy,1992
Khuda Gawah,drama,1992
Kuffs,comedy,1992
Ladybugs,comedy,1992
Leap of Faith,drama,1992
Leaving Normal,drama,1992
Lethal Weapon 3,action,1992
Live Wire,action,1992
Love Crimes,thriller,1992
Love Field,drama,1992
Love Potion No. 9,comedy,1992
Léolo,drama,1992
Mad at the Moon,horror,1992
Malcolm X,"drama, biography",1992
Man Trouble,comedy,1992
Medicine Man,drama,1992
Memoirs of an Invisible Man,comedy,1992
Mere Sajana Saath Nibhana,drama,1992
Mistress,comedy,1992
Mo' Money,comedy,1992
Moon Warriors,action,1992
Mr Bond,action,1992
Mr. Baseball,drama,1992
Mr. Saturday Night,comedy,1992
My Cousin Vinny,comedy,1992
My New Gun,comedy,1992
Newsies,musical,1992
Nishchaiy,romance,1992
Noises Off,comedy,1992
O Pioneers!,drama,1992
Once Upon a Crime,comedy,1992
One False Move,thriller,1992
Out on a Limb,comedy,1992
Parda Hai Parda,drama,1992
Passed Away,comedy,1992
Passenger 57,action,1992
Passion Fish,drama,1992
Pet Sematary Two,horror,1992
Poison Ivy,thriller,1992
Praying with Anger,drama,1992
Prom Night IV: Deliver Us from Evil,horror,1992
Pure Country,drama,1992
Quicksand: No Escape,thriller,1992
Raat,horror,1992
Rain Without Thunder,drama,1992
Raising Cain,thriller,1992
Rapid Fire,action,1992
Revenge of the Nerds III: The Next Generation,"comedy, teen",1992
Roadside Prophets,comedy,1992
Samantha,drama,1992
Samurai Vampire Bikers From Hell,comedy,1992
Scent of a Woman,drama,1992
School Ties,drama,1992
Secret Nation,drama,1992
Shining Through,drama,1992
"Silent Night, Deadly Night 5: The Toy Maker",horror,1992
Simple Men,drama,1992
Single White Female,thriller,1992
Singles,comedy,1992
Sister Act,comedy,1992
Sleepwalkers,horror,1992
Sneakers,comedy,1992
South Central,drama,1992
Star Time,horror,1992
Stay Tuned,comedy,1992
Stop! Or My Mom Will Shoot,comedy,1992
Straight Talk,comedy,1992
Tahalka,action,1992
Tetsuo II: Body Hammer,horror,1992
That Night,romance,1992
The Crying Game,drama,1992
The Cutting Edge,romance,1992
The Gun in Betty Lou's Handbag,comedy,1992
The Hand That Rocks the Cradle,thriller,1992
The Long Day Closes,drama,1992
The Mambo Kings,drama,1992
The Nun and the Bandit,drama,1992
The Playboys,drama,1992
The Player,"drama, comedy",1992
The Power of One,drama,1992
The Public Eye,drama,1992
The Resurrected,horror,1992
The Year of the Comet,comedy,1992
Trespass,action,1992
Twin Dragons,"action, comedy",1992
Umar 55 Ki Dil Bachpan Ka,comedy,1992
Under Siege,action,1992
Unforgiven,western,1992
Universal Soldier,action,1992
Unlawful Entry,thriller,1992
Vansh,action,1992
Virodhi,action,1992
Waterland,drama,1992
Wayne's World,comedy,1992
Where the Day Takes You,drama,1992
Whispers in the Dark,thriller,1992
White Men Can't Jump,comedy,1992
Who Do I Gotta Kill?,comedy,1992
Wind,drama,1992
Yaad Rakhegi Duniya,romance,1992
Zipperface,horror,1992
Zulm Ki Hukumat,action,1992
A Bronx Tale,drama,1993
A Far Off Place,adventure,1993
A Foreign Field,drama,1993
A House in the Hills,thriller,1993
A Moment of Romance II,romance,1993
A Perfect World,"drama, crime",1993
Aadmi Khilona Hai,"drama, romance",1993
Aashiq Awara,romance,1993
Aasoo Bane Angaarey,drama,1993
Addams Family Values,comedy,1993
Airborne,comedy,1993
Alive,"drama, biography",1993
Amos & Andrew,comedy,1993
Another Stakeout,comedy,1993
Arizona Dream,drama,1993
Aspen Extreme,drama,1993
Baazigar,thriller,1993
Bank Robber,crime,1993
Because Why,comedy,1993
Bedardi,"action, crime",1993
Bedevil,horror,1993
Benny & Joon,comedy,1993
Best of the Best 2,action,1993
Bhookamp,"action, drama, family, romance",1993
Blackfellas,drama,1993
Body Melt,horror,1993
Body of Evidence,thriller,1993
Boiling Point,drama,1993
Bopha!,drama,1993
Boxing Helena,thriller,1993
CB4,comedy,1993
Cannibal! The Musical,comedy,1993
Cap Tourmente,drama,1993
Chained Heat II,thriller,1993
City Hunter,"action, comedy",1993
Cliffhanger,action,1993
Coneheads,comedy,1993
Cool Runnings,"comedy, biography",1993
Cop and a Half,comedy,1993
Crime Story,"action, crime.",1993
Dangerous Game,drama,1993
Darr,thriller,1993
Dave,comedy,1993
Dazed and Confused,comedy,1993
Deadfall,thriller,1993
Demolition Man,action,1993
Dennis the Menace,comedy,1993
Digger,drama,1993
Divya Shakti,action,1993
Dragon: The Bruce Lee Story,"drama, biography",1993
Ethan Frome,drama,1993
Evil Dead 3: Army of Darkness,"comedy, horror",1993
Excessive Force,action,1993
Extreme Justice,action,1993
Farewell My Concubine,drama,1993
Fearless,drama,1993
Fight Back to School III,comedy,1993
Fire on the Amazon,adventure,1993
First Shot,crime,1993
Flesh and Bone,drama,1993
Flirting Scholar,comedy,1993
Geetanjali,drama,1993
Geronimo: An American Legend,"biography, drama",1993
Ghost in the Machine,horror,1993
Groundhog Day,comedy,1993
Grumpy Old Men,comedy,1993
Gurudev,romance,1993
Hammers Over the Anvil,drama,1993
Hard Target,action,1993
Harmony Cats,"comedy, drama",1993
Hasti,action,1993
Heart and Souls,"comedy, fantasy",1993
Hocus Pocus,"comedy, fantasy",1993
Homeward Bound: The Incredible Journey,"adventure, family",1993
Hot Shots! Part Deux,comedy,1993
Hum Hain Kamaal Ke,"action, comedy, crime, drama",1993
Hum Hain Rahi Pyar Ke,romance,1993
I Love a Man in Uniform,drama,1993
Indecent Proposal,drama,1993
Indian Summer,"comedy, drama",1993
Insaniyat Ke Devta,"action, crime, drama, romance",1993
Jack the Bear,drama,1993
Jason Goes to Hell: The Final Friday,horror,1993
Jeevan Ki Shatranj,"action, crime, drama, romance",1993
Josh and S.A.M.,"comedy, drama",1993
Joshua Tree,action,1993
Jurassic Park,adventure,1993
Keyamat Theke Keyamat,romance,1993
Khal-Naaikaa,"crime, drama, thriller",1993
King of the Hill,drama,1993
Kshatriya,action,1993
Last Action Hero,comedy,1993
Leprechaun,horror,1993
Life with Mikey,comedy,1993
Lootere,"action, drama, musical, romance",1993
Lost in Yonkers,"comedy, drama",1993
M. Butterfly,romance,1993
Mad Dog and Glory,comedy,1993
Made in America,comedy,1993
Malice,thriller,1993
Man's Best Friend,thriller,1993
Manhattan Murder Mystery,comedy,1993
Map of the Human Heart,drama,1993
Matinee,comedy,1993
Me and the Kid,comedy,1993
Menace II Society,drama,1993
Mr. Jones,romance,1993
Mr. Nanny,comedy,1993
Mrs. Doubtfire,comedy,1993
Much Ado About Nothing,comedy,1993
Muqabla,"action, crime, drama, thriller",1993
Mustard Bath,drama,1993
My Life,drama,1993
Naked,drama,1993
Naked in New York,drama,1993
Needful Things,drama,1993
Only the Strong,action,1993
Ordinary Magic,drama,1993
Padma Nadir Majhi,drama,1993
Pardesi,action,1993
Pehchaan,"romance, drama",1993
Perfect Exchange,comedy,1993
Philadelphia,drama,1993
Phir Teri Kahani Yaad Aayee,"romance, drama",1993
Poetic Justice,drama,1993
Point of No Return,thriller,1993
Prateeksha,"action, crime",1993
Public Access,drama,1993
Puppet Master 4,horror,1993
Return of the Living Dead 3,horror,1993
Rich in Love,drama,1993
Robin Hood: Men in Tights,comedy,1993
Romeo Is Bleeding,crime,1993
Rookie of the Year,comedy,1993
Roosters,drama,1993
Rudaali,drama,1993
Rudy,"drama, biography",1993
Sankofa,drama,1993
Sardar,"biography, drama",1993
Schindler's List,drama,1993
Shadowlands,drama,1993
Short Cuts,drama,1993
Sir,"crime, drama",1993
Sister Act 2: Back in the Habit,comedy,1993
Six Degrees of Separation,drama,1993
Sliver,thriller,1993
Sniper,action,1993
So I Married an Axe Murderer,comedy,1993
Sommersby,drama,1993
Son in Law,comedy,1993
Son of the Pink Panther,comedy,1993
Splitting Heirs,comedy,1993
Striking Distance,action,1993
Suture,drama,1993
Swing Kids,drama,1993
Tahqiqaat,crime,1993
The Ballad of Little Jo,western,1993
The Beverly Hillbillies,comedy,1993
The Cement Garden,drama,1993
The Cemetery Club,drama,1993
The Crush,thriller,1993
The Final Judgement,crime,1993
The Firm,drama,1993
The Good Son,thriller,1993
The House of the Spirits,drama,1993
The Joy Luck Club,drama,1993
The Lotus Eaters,drama,1993
The Man Without a Face,drama,1993
The Meteor Man,comedy,1993
The Music of Chance,drama,1993
The Pelican Brief,thriller,1993
The Piano,drama,1993
The Remains of the Day,drama,1993
The Secret Rapture,drama,1993
The Sex of the Stars,drama,1993
The Silver Brumby,drama,1993
The Temp,thriller,1993
The Thing Called Love,"comedy, drama",1993
The Vanishing,thriller,1993
The Wedding Banquet,"drama, comedy",1993
This Boy's Life,drama,1993
Three of Hearts,"drama, romance",1993
"Tom, Dick and Hairy",comedy,1993
Tombstone,"western, biography",1993
Totally F***ed Up,drama,1993
Twenty Bucks,comedy,1993
Undercover Blues,comedy,1993
Waqt Hamara Hai,"action, romance",1993
Warlock: The Armageddon,horror,1993
Wayne's World 2,comedy,1993
Weekend at Bernie's II,comedy,1993
What's Eating Gilbert Grape,drama,1993
What's Love Got to Do with It,"biography, drama",1993
Who's the Man?,comedy,1993
Woman Sesame Oil Maker,drama,1993
Woman of Desire,drama,1993
Wrestling Ernest Hemingway,drama,1993
Younger and Younger,comedy,1993
Zakhmo Ka Hisaab,"action, crime, drama",1993
1942: A Love Story,"romance, social",1994
3 Chains o' Gold,musical,1994
3 Ninjas Kick Back,"action, family",1994
A Business Affair,comedy,1994
A Low Down Dirty Shame,comedy,1994
A Man of No Importance,drama,1994
A Million to Juan,comedy,1994
A Simple Twist of Fate,drama,1994
A Time to Heal,drama,1994
Aa Gale Lag Jaa,romance,1994
Above the Rim,drama,1994
Abraham,drama,1994
Ace Ventura: Pet Detective,comedy,1994
Airheads,comedy,1994
Al-Mohager (The Emigrant),drama,1994
Alien Nation: Dark Horizon,drama,1994
Amanaat,"action, adventure",1994
Amateur,"comedy, drama",1994
Andre,"family, drama",1994
Angie,drama,1994
Anjaam,"drama, thriller",1994
Another Midnight Run,action,1994
Anth,action,1994
Baby's Day Out,comedy,1994
Bad Girls,western,1994
Barcelona,drama,1994
Beretta's Island,drama,1994
Beverly Hills Cop III,"action, comedy",1994
Blank Check,comedy,1994
Blankman,comedy,1994
Blind Justice,drama,1994
Blink,thriller,1994
Blue Chips,"drama, sports",1994
Blue Sky,drama,1994
Brainscan,drama,1994
Breathing Lessons,drama,1994
Bullets over Broadway,comedy,1994
Cabin Boy,comedy,1994
Camp Nowhere,"family, comedy",1994
"Car 54, Where Are You?",comedy,1994
Chaand Kaa Tukdaa,"action, comedy, drama",1994
Chasers,comedy,1994
City Slickers II: The Legend of Curly's Gold,comedy,1994
Clean Slate,comedy,1994
"Clean, Shaven",drama,1994
Clear and Present Danger,"action, drama",1994
Clerks,comedy,1994
Clifford,comedy,1994
Cobb,"biography, drama",1994
Color of Night,thriller,1994
Confessions of a Sorority Girl,drama,1994
Cool and the Crazy,drama,1994
Cops and Robbersons,comedy,1994
"Corrina, Corrina","comedy, drama",1994
Crooklyn,drama,1994
Dance Me Outside,drama,1994
Deadly Target,action,1994
Death Wish V: The Face of Death,drama,1994
Dilwale,romance,1994
Dirt,drama,1994
Disclosure,thriller,1994
Double Dragon,action,1994
Dream Lover,"drama, thriller",1994
Drop Zone,action,1994
Drunken Master II,"action, kung fu, comedy",1994
Dulaara,thriller,1994
Dumb and Dumber,comedy,1994
Ed Wood,"comedy, biography",1994
Eena Meena Deeka,"action, crime, comedy",1994
Ernest Goes to School,comedy,1994
Even Cowgirls Get the Blues,"drama, comedy",1994
Exit to Eden,"drama, comedy",1994
Exotica,drama,1994
F.T.W.,drama,1994
Fast Getaway II,action,1994
Fear of a Black Hat,drama,1994
Fist of Legend,"kung fu, action",1994
Forrest Gump,drama,1994
Fresh,drama,1994
Getting Even with Dad,comedy,1994
Go Fish,drama,1994
Gopi Kishan,"action, comedy, crime, drama",1994
Greedy,comedy,1994
Guarding Tess,comedy,1994
Hail Caesar,comedy,1994
"He's a Woman, She's a Man","comedy, romance, drama",1994
Henry & Verlin,drama,1994
House Party 3,comedy,1994
Hum Aapke Hain Koun..!,romance,1994
I Like It Like That,comedy,1994
I'll Do Anything,"comedy, drama",1994
In the Army Now,comedy,1994
Intersection,drama,1994
Interview with the Vampire,horror,1994
Is There Life Out There?,drama,1994
It Could Happen to You,romance,1994
It's Pat,comedy,1994
Jacob,drama,1994
Jason's Lyric,"drama, romance",1994
Jimmy Hollywood,"drama, comedy",1994
Junior,comedy,1994
Kabhi Haan Kabhi Naa,romance,1994
Khuddar,action,1994
Killing Zoe,thriller,1994
Knight Rider 2010,action,1994
Kranti Kshetra,action,1994
Krantiveer,"drama, romance",1994
Laadla,drama,1994
"Ladybird, Ladybird",drama,1994
Legends of the Fall,drama,1994
Leprechaun 2,horror,1994
Lightning Jack,comedy,1994
Little Big League,comedy,1994
Little Buddha,drama,1994
Little Giants,comedy,1994
Love and a .45,comedy,1994
Love on Delivery,comedy,1994
Main Khiladi Tu Anari,"action, comedy",1994
Major League II,comedy,1994
Mammo,drama,1994
Mary Shelley's Frankenstein,horror,1994
Maverick,comedy,1994
Men of War,action,1994
Midnight Run for Your Life,comedy,1994
Milk Money,comedy,1994
Mixed Nuts,comedy,1994
Mohra,action,1994
My Father the Hero,comedy,1994
My Friend Max (Mon amie Max),drama,1994
My Girl 2,comedy,1994
My Summer Story,comedy,1994
Naaraaz,"action, crime, drama",1994
Naked Gun 33⅓: The Final Insult,comedy,1994
National Lampoon's Last Resort,comedy,1994
Natural Born Killers,action,1994
Nell,drama,1994
North,"comedy, fantasy",1994
On Deadly Ground,action,1994
Out of Darkness,drama,1994
PCU,comedy,1994
Paramaatma,"action, drama, fantasy",1994
Phantasm III: Lord of the Dead,horror,1994
Police Academy: Mission to Moscow,comedy,1994
Pontiac Moon,adventure,1994
Princess Caraboo,"biography, comedy",1994
Pulp Fiction,"action, comedy",1994
Pumpkinhead II: Blood Wings,horror,1994
Puppet Master 5: The Final Chapter,horror,1994
Quiz Show,"drama, biography",1994
Radio Inside,drama,1994
Radioland Murders,comedy,1994
Raja Babu,comedy,1994
Rapa Nui,adventure,1994
Raw Justice,action,1994
Reality Bites,comedy,1994
"Red Firecracker, Green Firecracker",drama,1994
Renaissance Man,comedy,1994
Revenge of the Nerds IV: Nerds in Love,comedy,1994
Richie Rich,"comedy, family",1994
Roadracers,drama,1994
S.F.W.,comedy,1994
Saajan Ka Ghar,"drama, family",1994
Second Best,drama,1994
Serial Mom,comedy,1994
Shallow Grave,thriller,1994
Shatter Dead,horror,1994
Silent Fall,thriller,1994
Silent Tongue,western,1994
Sioux City,drama,1994
Spanking the Monkey,comedy,1994
Speechless,comedy,1994
Speed,thriller,1994
Squanto: A Warrior's Tale,adventure,1994
Street Fighter,action,1994
Surviving the Game,action,1994
Swimming with Sharks,comedy,1994
Teesra Kaun?,"comedy, drama, thriller",1994
Texas Chainsaw Massacre: The Next Generation,horror,1994
The Air Up There,comedy,1994
The Birds II: Land's End,thriller,1994
The Cowboy Way,comedy,1994
The Crow,action,1994
The Favor,comedy,1994
The Flintstones,comedy,1994
The Force,drama,1994
The Gentleman,action,1994
The Hudsucker Proxy,comedy,1994
The Last Seduction,drama,1994
The Last Supper,drama,1994
The Little Rascals,comedy,1994
The Lurking Fear,horror,1994
The Mask,comedy,1994
The Monster,comedy,1994
The New Legend of Shaolin,"kung fu, comedy",1994
The Next Karate Kid,action,1994
The Paper,comedy,1994
The Ref,comedy,1994
The River Wild,thriller,1994
The Road to Wellville,"comedy, biography",1994
The Santa Clause,comedy,1994
The Scout,comedy,1994
The Secret of Roan Inish,drama,1994
The Shadow,action,1994
The Shawshank Redemption,drama,1994
The Silence of the Hams,comedy,1994
The Specialist,thriller,1994
The Stoned Age,comedy,1994
The Three Swordsmen,"wuxia, comedy",1994
The War,drama,1994
Threesome,drama,1994
Tian Di,crime,1994
Timecop,"action, science fiction",1994
To Live,drama,1994
Tom & Viv,drama,1994
Trapped in Paradise,comedy,1994
Trial by Jury,thriller,1994
Troublemakers,comedy,1994
True Lies,"action, comedy",1994
Undefeatable,action,1994
Vijaypath,"romance, drama",1994
Wagons East!,comedy,1994
Wes Craven's New Nightmare,horror,1994
What Happened Was,drama,1994
When a Man Loves a Woman,drama,1994
White Fang 2: Myth of the White Wolf,drama,1994
With Honors,drama,1994
Without Warning,drama,1994
Woh Chokri,drama,1994
Wolf,horror,1994
Wyatt Earp,"western, biography",1994
Yeh Dillagi,romance,1994
Zaalim,action,1994
Zakhmi Dil,"action, romance",1994
3 Ninjas Knuckle Up,comedy,1995
A Kid in King Arthur's Court,comedy,1995
A Midwinter's Tale,drama,1995
A Mongolian Tale,drama,1995
A Month by the Lake,romance,1995
A Walk in the Clouds,drama,1995
Ace Ventura: When Nature Calls,comedy,1995
All Men Are Liars,comedy,1995
An Awfully Big Adventure,comedy,1995
Angels and Insects,drama,1995
Angus,comedy,1995
Apollo 13,"drama, biography",1995
Assassins,action,1995
Bang,drama,1995
Banglar Nayok,action,1995
Baywatch the Movie: Forbidden Paradise,drama,1995
Before Sunrise,romance,1995
Beyond Rangoon,"biography, drama",1995
Billy Madison,comedy,1995
Black List (Liste noire),drama,1995
Bloodfist VI: Ground Zero,action,1995
Blue Juice,drama,1995
Blue in the Face,comedy,1995
Blush,drama,1995
Born to Be Wild,comedy,1995
Boys on the Side,"comedy, drama",1995
Braveheart,"drama, biography",1995
Bushwhacked,comedy,1995
Butterfly Kiss,drama,1995
Bye Bye Love,comedy,1995
Canadian Bacon,"comedy, satire",1995
Candyman 2: Farewell to the Flesh,horror,1995
Carnosaur 2,horror,1995
Casper,comedy,1995
Castle Freak,horror,1995
Children of the Corn III: Urban Harvest,horror,1995
Circle of Friends,drama,1995
Clockers,drama,1995
Clockwork Mice,drama,1995
Clueless,comedy,1995
Coldblooded,"comedy, thriller",1995
Congo,"science fiction, adventure",1995
Copycat,thriller,1995
Crimson Tide,thriller,1995
"Cry, the Beloved Country",drama,1995
Crying Freeman,action,1995
Cutthroat Island,adventure,1995
Dead Man,western,1995
Dead Man Walking,drama,1995
Demon Knight,horror,1995
Den Mohor,"romance, drama",1995
Desperado,"comedy, action",1995
Die Hard with a Vengeance,action,1995
Dil Ka Doctor,comedy,1995
Diya Aur Toofan,"science fiction, crime, thriller",1995
Don Juan DeMarco,comedy,1995
Don't Give a Damn,action,1995
Dr. Jekyll and Ms. Hyde,comedy,1995
Dracula: Dead and Loving It,comedy,1995
Dream a Little Dream 2,comedy,1995
Ebbie,drama,1995
Eko Eko Azarak: Wizard of Darkness,horror,1995
Empire Records,"comedy, drama",1995
Fair Game,action,1995
Fall Time,crime,1995
Far from Home: The Adventures of Yellow Dog,adventure,1995
Father of the Bride Part II,comedy,1995
Feast of July,drama,1995
Flirt,comedy,1995
Forget Paris,comedy,1995
Free Willy 2: The Adventure Home,"adventure, family",1995
Friday,"comedy, drama",1995
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,drama,1995
Full Body Massage,drama,1995
Full Throttle,drama,1995
Funny Bones,comedy,1995
Get Shorty,"crime, comedy",1995
Getting Any?,comedy,1995
